sample_id,F_wind_kN,w_snow_kNm,E_Pa,max_disp_x,min_disp_x,max_disp_y,min_disp_y,max_force_x,max_force_y,max_moment_z,min_moment_z
88,3.71737499064977,3.2542562731295988,212016235044.3065,0.0047089318029442,-0.002647055764892,0.0,-0.035758176609336,13178.250905795,19730.952512804,28521.758117335,-26681.448990394
89,6.719989936676336,2.4123169375135265,192394056652.34283,0.0054256539718113,-0.0008437371262297,0.0,-0.029093919465015,10646.155176843,14840.140464146,21975.431518355,-18648.694876727
90,1.6844399999135662,3.045240733256193,205544536238.3395,0.0040497062353344,-0.0031136334430507,0.0,-0.034564417303687,11934.781498105,18366.875964356,26313.008998119,-25479.113355556
91,4.367509949066802,2.3444798967853573,196211698416.3701,0.0043255437529814,-0.0015096383145464,0.0,-0.027787820578502,9867.9559397213,14306.028809282,20902.943838779,-18740.767746675
92,4.210169244853015,2.247723653005427,198594569316.56152,0.0041061186140324,-0.0014226104192958,0.0,-0.026320872894926,9465.825936472,13716.939641601,20045.209555065,-17960.93313825
93,2.693627468316852,1.7838760164039094,194963615861.12695,0.0030648638168105,-0.0013626747218488,0.0,-0.021297038037191,7369.0805985049,10851.320941133,15772.561442655,-14439.068031423
94,0.9010458430313678,1.7118224215672606,201094441838.70663,0.0023154138376919,-0.0018036068615903,0.0,-0.019861170304486,6698.8277236599,10322.211780284,14781.865344195,-14335.795541141
95,3.3142684591063327,2.605158039269142,186469893655.19272,0.0044251704700776,-0.0022932508989067,0.0,-0.032537180448787,10624.55432433,15813.604625924,22903.783022732,-21263.036760948
96,4.746413133276801,1.8097938207815296,199991805241.9232,0.0038028260667475,-0.0007032849959422,0.0,-0.021005997209113,7921.7175157095,11117.477414952,16424.497860191,-14074.675710723
97,3.8329397884431495,1.391590749952407,205979138152.7248,0.0029072385238134,-0.0004681465023068,0.0,-0.015677506777994,6131.7428774135,8558.387003986,12667.679537492,-10770.161498199
98,4.922005641552859,2.2121799879150768,204643253305.0464,0.0042132413911421,-0.0011152666543633,0.0,-0.02511731080303,9488.3710288786,13541.947112502,19891.628065257,-17454.912940727
99,3.0186599584335774,2.348864270768744,207566030476.4935,0.0035955869382638,-0.0018481337911105,0.0,-0.026354027724863,9586.1480109965,14259.657375855,20657.122794826,-19162.713038111
100,4.851117910610409,1.360203248943702,195786111781.37692,0.0034219280690784,-0.0002152931574581,0.0,-0.016089730862873,6237.8653101469,8424.9141056478,12613.922457654,-10212.385401143
101,3.122426080730311,1.5335646985247318,190372076027.5764,0.0030230816892324,-0.0009284835911552,0.0,-0.01872597620211,6513.5111404046,9372.0557934887,13728.624857975,-12182.842923668
102,3.5406935385053284,2.099849739057445,200985021881.12823,0.0036406873100416,-0.0014381594181121,0.0,-0.024307610080009,8756.1425180347,12793.221121494,18643.844616195,-16890.997401401
103,3.690479312405176,1.271558814074023,206508160525.3834,0.0027194899909707,-0.0003683502380364,0.0,-0.014283324684771,5644.4720202846,7830.3024250904,11614.506446476,-9787.5021955732
104,4.147991906475068,1.2767971413817791,201772884376.24304,0.0029627610493305,-0.0002696074404991,0.0,-0.014666286449106,5765.5892802173,7886.3861891516,11755.207482804,-9701.7015911755
105,5.53792227764656,1.4346132706540329,203642604974.4751,0.003628444681153,-0.0001426351468473,0.0,-0.016303585185217,6672.3740895431,8908.5631725471,13392.514306367,-10651.010581187
106,4.333364093288555,1.6392045053325428,193470285835.74628,0.0035740230026158,-0.0006471511075272,0.0,-0.019666293281896,7182.5842447766,10071.385424303,14883.504307728,-12738.24206493
107,3.749758692650168,2.468447414673085,205885851276.58157,0.0040243800606469,-0.0017785775236658,0.0,-0.027905727776663,10201.922175367,15016.700500596,21829.964012341,-19973.615003493
108,2.2506596165274333,0.9151847339226076,202880668296.9836,0.0018391350843969,-0.0003977559581214,0.0,-0.010475241364926,3972.7572850929,5613.8237717427,8274.1335314104,-7159.9238140014
109,2.441152860820265,2.684128714405285,192479139820.23807,0.0040613800750258,-0.0026126996146099,0.0,-0.032505606207139,10731.203901067,16240.501199733,23393.665239184,-22185.149241889
110,5.393139962692452,1.7361820711596696,190240222874.29025,0.0041734028873783,-0.0004363711417907,0.0,-0.021159549836023,7785.3315650168,10710.56577417,15932.795413756,-13262.833671949
111,3.181815090912025,1.573487482502467,196070535946.30948,0.0030030810861144,-0.0009321116916259,0.0,-0.01865570472388,6678.2355770966,9614.8604385116,14081.428918849,-12506.240534226
112,5.005581567499328,2.900013506310345,199489579027.53668,0.0051102021805983,-0.0019639068655555,0.0,-0.033818638079131,12118.399778284,17674.461320517,25772.608716501,-23294.467511123
113,5.21415324514071,1.91396891719546,195613863731.5544,0.0041878756113936,-0.0006968268349452,0.0,-0.022706703260672,8420.7207562442,11767.904711993,17410.747040634,-14829.439921
114,4.829308463850322,0.8634053449131774,199164769632.04477,0.0028086689219821,0.0,0.0,-0.0099904098483431,4346.9420025412,5442.3459240051,8374.5990434208,-5983.7758034673
115,4.9945717963212175,2.449945579179351,198914553177.5685,0.004624586486665,-0.0014176026510891,0.0,-0.028631125604226,10407.177351903,14972.857236367,21933.759553918,-19461.167190102
116,4.820297785930113,1.786350407316882,197594206721.2058,0.0038516035409699,-0.000658797052968,0.0,-0.020981793028393,7849.1065223414,10980.860371718,16240.296158374,-13853.928441181
117,4.892143507316785,1.3737133352512307,207119556007.50497,0.003264162933799,-0.0002068238856413,0.0,-0.015360796149723,6298.3025502561,8508.3247966047,12737.865229826,-10316.045263739
118,3.274857542502439,2.161822019096426,191470611839.5455,0.003786185722971,-0.001677963781369,0.0,-0.02627960369304,8932.65361122,13150.879621157,19116.397647842,-17495.149438674
119,3.05984846061535,1.6059348009559462,209728728790.4184,0.0027968771693359,-0.0009466295653499,0.0,-0.017805621808451,6774.4794933399,9803.0797770417,14332.502637272,-12817.696867187
